roll_sin,roll_cos,pitch_sin,pitch_cos
0.008354610897164,0.999965099629361,-0.031312815598481,0.999509633560025
0.00301306710222,0.999995460703016,-0.016469543945407,0.999864367863077
-0.002035487190822,0.999997928393802,-0.007944326226095,0.999968443342496
-0.006409438946347,0.999979459335237,-0.008597292992368,0.999963042593677
-0.011296404890331,0.999936193582648,-0.009574074603452,0.999954167497435
-0.016344413828476,0.999866421146647,-0.001889574334498,0.999998214752824
-0.020562698289072,0.999788565367234,0.011804289077632,0.999930326952519
-0.02458058692721,0.999697851726368,0.020738408480973,0.999784936080594
-0.028656489587455,0.999589318472604,0.019663230704981,0.999806659988942
-0.031855643216059,0.999492480209477,0.015515848102586,0.999879621983395
-0.034408378901634,0.999407856413668,0.017985167077987,0.999838253801672
-0.037041495132145,0.999313728334788,0.026703224456899,0.99964340532192
-0.038892497502479,0.999243400597682,0.029960698926537,0.999551077494209
-0.039390903113233,0.999223877192656,0.022313325854883,0.999751026750808
-0.039767572772826,0.999208957203526,0.013802670252932,0.999904738609578
-0.040061668541924,0.99919720912022,0.013380140888766,0.999910481908154
-0.038899216111404,0.999243139073728,0.01840170598481,0.999830674272824
-0.037187514384915,0.999308305166064,0.017950417931553,0.999838878267935
-0.035923272737635,0.999354550935662,0.006965862900703,0.999975738082704
-0.033796588027116,0.999428732145382,-0.006571133240022,0.999978409870904
-0.030802172953706,0.999525500495775,-0.013496343043713,0.999908920214459
-0.028157275367874,0.999603505317912,-0.013894839020704,0.999903462064508
-0.025301341946155,0.999679869806192,-0.016835576577905,0.999858271637181
-0.021864203218999,0.999760949736285,-0.027921698879959,0.999610113360033
-0.018899931323438,0.999821380345494,-0.041731952035753,0.999128842632063
-0.016289352839005,0.999867319690011,-0.048513427914299,0.998822530438718
-0.013196671109303,0.999912920144366,-0.046967271137569,0.998896428786233
-0.010545861686412,0.999944390854457,-0.045412211531454,0.998968333353877
-0.00886767535299,0.999960681393941,-0.05088781816593,0.99870437565994
-0.007033553734425,0.999975264255004,-0.059202713347964,0.998245981074925
-0.005216947745463,0.999986391635517,-0.060431775655659,0.998172330056842
-0.004324872841606,0.999990647693719,-0.051815146558288,0.9986566930568
-0.003801353402436,0.999992774830053,-0.042604606268178,0.999092011540846
-0.0029709594439,0.999995586690253,-0.04068472738248,0.999172033714822
-0.002665160459253,0.999996448453556,-0.042331781528041,0.999103608377361
-0.002965260216736,0.99999560360626,-0.037781349205375,0.999286029949494
-0.002996527214042,0.99999551040225,-0.024127584349306,0.999708887463479
-0.00314850926876,0.999995043432408,-0.010006528541306,0.999949933439946
-0.003739902301356,0.999993006540934,-0.004148768413143,0.999991393823294
-0.003861541623563,0.999992544220351,-0.004010755614589,0.999991956887354
-0.003671060456903,0.999993261634858,-0.00116600242579,0.999999320218941
-0.003893980907859,0.999992418427605,0.009442648105525,0.999955417204565
-0.003985868991583,0.99999205639264,0.020905256068394,0.999781461254766
-0.003088106660961,0.999995231787257,0.024458518848454,0.999700845681217
-0.001953882881605,0.999998091169021,0.021383748292784,0.999771341512123
-0.001152346074687,0.999999336049042,0.018562424037745,0.999827703363856
0.000157904760484,0.999999987533043,0.019341931630274,0.999812927342316
0.002478044087315,0.999996929644037,0.019822722603488,0.999803510530237
0.005231203660293,0.999986317160522,0.016329353056766,0.99986666722556
0.008353195565329,0.999965111453318,0.009212487482956,0.999957564136787
0.012237772090984,0.999925115663293,0.00141286790523,0.999999001901643
0.016687685834185,0.999860750875591,-0.004434076430216,0.999990169434786
0.021337985107022,0.99977231927653,-0.008495879910341,0.999963909361007
0.026247519534658,0.999655474510232,-0.013974135080447,0.9999023570073
0.031273836141369,0.999510853954575,-0.022535264342837,0.999746048684864
0.035949698965798,0.999353600656078,-0.031573652307411,0.999501427952942
0.040184692206969,0.999192269041465,-0.037037834575242,0.999313864013693
0.044126099251268,0.999025969314546,-0.039010495821957,0.999238800895825
0.047215108111814,0.99888474488601,-0.040694224596103,0.99917164695788
0.048988954471605,0.998799320354084,-0.043330229957872,0.999060804541845
0.049958959202167,0.99875127153633,-0.048047828105476,0.99884503613641
0.049926109453086,0.998752914185926,-0.051799355050754,0.998657512271512
0.048529627965216,0.998821743460542,-0.050122656999288,0.998743069690765
0.046176115770908,0.998933314256919,-0.044162343042366,0.999024367799409
0.042941443276764,0.999077590805293,-0.038841799463791,0.999245372575933
0.03861928733659,0.999253997062616,-0.036688926495249,0.999326734693227
0.033506861033795,0.999438487483678,-0.034665773093864,0.999398961464242
0.027867946558406,0.999611613355216,-0.028468180297317,0.999594699220919
0.021526063116439,0.999768287458003,-0.018820009383278,0.999822887939066
0.014707332309714,0.999891841339018,-0.010134859626989,0.999948640991297
0.008066232088507,0.999967467420763,-0.005249147955412,0.99998622312797
0.001584951335065,0.999998743963844,-0.002422096894332,0.999997066719015
-0.004941288600524,0.999987791758963,0.002257221037271,0.99999745247335
-0.010958490757475,0.999939953937394,0.009449201619193,0.999955355297805
-0.01610483302441,0.99987030876672,0.015424918777797,0.999881028863284
-0.020615562138429,0.999787476715785,0.016910823402294,0.999857001801686
-0.024295572194106,0.999704819019975,0.01481936474265,0.999890187184885
-0.026816226601054,0.999640380332288,0.01362605011426,0.999907161069608
-0.028366934974421,0.999597577528156,0.01422753731527,0.999898783468578
-0.028985083402298,0.999579844204635,0.013961865892345,0.999902528400046
-0.02858368254163,0.999591403070454,0.009355517797476,0.999956236185735
-0.027440379066226,0.99962344190035,0.000881926250162,0.999999611102969
-0.025702398362102,0.999669638789954,-0.006881555683181,0.999976321815361
-0.023241316121016,0.99972988413119,-0.011157442323184,0.999937753803108
-0.020278526430358,0.999794369540964,-0.014191093562442,0.999899301361643
-0.017262623383496,0.999850989814942,-0.020317641112794,0.999793575424253
-0.014279000672829,0.999898049872979,-0.03156900108138,0.999501574871558
-0.011093413999599,0.999938466189712,-0.042348825781125,0.999102886070779
-0.008083669892242,0.999967326606762,-0.046768714686567,0.998905744966244
-0.005587770835033,0.999984388286685,-0.046525366715963,0.998917108799296
-0.003526568161348,0.999993781639168,-0.048396599865199,0.998828198000781
-0.002142540600283,0.999997704757254,-0.054834621360463,0.99849545031525
-0.001687560361239,0.999998576069,-0.059946250330493,0.998201606425933
-0.001888463915301,0.99999821685043,-0.05943156648856,0.998232382216043
-0.00296453960119,0.999995605742822,-0.053575016055373,0.998563827531654
-0.005113320962009,0.999986926888917,-0.047157557776465,0.998887463503552
-0.007845516035385,0.999969223465472,-0.045845733887758,0.998948531549195
-0.011076764139256,0.999938650766238,-0.046675759295581,0.998910092798236
-0.014694851870483,0.999892024834934,-0.042386809814002,0.999101275323874
-0.01847824499425,0.999829262655346,-0.031419500274526,0.999506285624307
-0.02219917375478,0.999753567977932,-0.020441693020853,0.999791046762493
-0.025644223103854,0.999671132833893,-0.015086242925114,0.999886196161546
-0.028563404238729,0.999591982730101,-0.012249296583471,0.999924974552196
-0.030845758181775,0.999524156387524,-0.006813434977859,0.999976788282509
-0.03261056543092,0.999468134070454,0.00275959326694,0.999996192315251
-0.033686899863413,0.999432435323966,0.012504246582646,0.999921818852554
-0.033752030711022,0.999430237897014,0.017264822034251,0.999850951852388
-0.032909732598717,0.999458328045888,0.016638167758989,0.999861576106225
-0.031390561473472,0.999507194896755,0.016108031580019,0.999870257242717
-0.029103911518465,0.999576391445059,0.018356315470361,0.999831508646508
-0.025916994273266,0.99966409828894,0.021509781035252,0.999768637895696
-0.022092996349736,0.999755919968615,0.019919805256397,0.999801580994223
-0.017789901747452,0.99984174717593,0.012948704506111,0.999916162011403
-0.012934480014314,0.999916346114394,0.005959026433356,0.999982244844361
-0.007758653135358,0.999969901197794,0.000813083393287,0.999999669447643
-0.002163136500659,0.999997660417503,-0.003524234236705,0.999993789867239
0.003939794635598,0.999992238978998,-0.008517382599335,0.999963726438943
0.009984911143765,0.999950149532191,-0.017898848320163,0.999839802782832
0.015475036336246,0.999880254455698,-0.029809430396317,0.999555600184126
0.020776205633345,0.99978415134442,-0.037898294863867,0.999281601575057
0.026022847848551,0.999661348352457,-0.040648578400778,0.999173504989997
0.030433823537225,0.999536783907879,-0.04276366702656,0.999085215976316
0.033942159877974,0.999423798887548,-0.048450387897173,0.998825590337279
0.037077198838671,0.999312404269194,-0.055738730289238,0.998445388564514
0.039490162412683,0.999219959304567,-0.059490357825634,0.99822888023027
0.040829224104419,0.999166139567905,-0.057233936635353,0.998360794751687
0.041468957259007,0.999139792813724,-0.052721694358069,0.998609244371398
0.041984078715855,0.999118279851981,-0.054878601257464,0.998493034088884
0.033515248168004,0.999438206264018,-0.064684591768791,0.997905758870899
-0.019371062635218,0.999812363362438,-0.052935643553456,0.998597925914921
-0.059470989402296,0.998230034320503,-0.069690083012282,0.997568690532006
-0.030552450737837,0.999533164909455,-0.088887701023063,0.996041654052095
0.037643510966123,0.999291231864937,-0.053421513168435,0.998572051446862
0.075487263889498,0.997146766023175,-0.00112934945832,0.999999362284697
0.037246318112468,0.999306115155444,0.033505377431253,0.999438537221369
-0.062901568078861,0.998019735643149,0.003294647273229,0.999994572634944
-0.019554119091182,0.999808799934552,-0.068471991947929,0.997653039046483
0.073107757177046,0.997324047559539,-0.094898722948463,0.995486932301349
0.073276799889418,0.997311641663711,-0.064884691061503,0.997892768220039
-0.038013065996437,0.999277242217369,-0.005347234445854,0.999985703439695
-0.052379904477897,0.998627230555469,0.038256933283964,0.999267935568687
0.051870021249869,0.998653844380293,0.007418838902414,0.999972480035996
0.023452414450831,0.999724954303145,-0.062254528039346,0.998060305662237
-0.061945907388739,0.99807950813439,-0.08878044060342,0.996051220252384
-0.05767541457145,0.998335387810134,-0.063356470619611,0.99799096069585
0.042744926057314,0.999086017966599,-0.003876457254787,0.99999248651135
0.031104725448085,0.999516130962777,0.034603910202596,0.999401105361952
-0.056927032016805,0.998378341624936,0.004594082034284,0.99998944714945
-0.012329227461322,0.99992399218651,-0.053213936582617,0.998583134723084
0.064123766539228,0.997941953504723,-0.072420876440653,0.997374160812063
0.029388312730027,0.999568070255789,-0.051168949807336,0.998690011252548
-0.055002834448291,0.998486198303539,0.001524186245192,0.99999883842747
0.001710519013164,0.999998537061283,0.027704256612569,0.999616163417512
0.057138996900791,0.998366232919148,-0.002576040290008,0.999996682002707
-0.019810053516862,0.999803761635082,-0.048066302756303,0.998844147271905
-0.059108843415339,0.998251543765448,-0.062735782918983,0.998030170656951
0.014105331042239,0.999900514869449,-0.041528560166264,0.999137317234482
0.041154122333954,0.999152810242218,0.007022486932951,0.999975342034631
-0.033509104444089,0.999438412269288,0.024282217050819,0.99970514349737
-0.028375860341994,0.999597324201026,-0.006723093778753,0.999977399749636
0.046489675398812,0.998918770512054,-0.051208727430455,0.998687972409277
0.023010028192536,0.999735234250839,-0.063605562698121,0.997975116119563
-0.041085496888505,0.99915563449616,-0.025754031846612,0.999668309912665
-0.001725940645602,0.999998510563335,0.021900807368194,0.999760148553953
0.040401511371841,0.999183525624232,0.019305821473016,0.999813625260854
-0.016366567137576,0.999866058769939,-0.028436461606268,0.999595602056809
-0.036410573922435,0.999336915212602,-0.065570637106741,0.997847930072221
0.019128327559606,0.999817036804621,-0.050009635433922,0.998748735350271
0.023214418385444,0.999730509076834,0.004727194603187,0.999988826753171
-0.030406206944791,0.999537624394015,0.028977185876172,0.999580073180082
-0.007951069047628,0.999968389750896,-0.005620666736568,0.99998420392796
0.033207850481262,0.999448467239014,-0.055670578182826,0.998449190857897
0.000685291385671,0.999999765187831,-0.061251173100221,0.998122384176333
-0.028968268247196,0.99958033165662,-0.01129721813638,0.999936184394974
0.017740781296874,0.999842619955249,0.02980698695679,0.99955567305106
0.018008160285697,0.999837839933619,0.010507488781575,0.999944794815947
-0.02498829135449,0.999687743895654,-0.042243994143217,0.999107324044233
-0.006910936267634,0.999976119194806,-0.064210982007119,0.997936345560017
0.024463679258328,0.999700719414139,-0.026783444378734,0.999641259206127
-0.005040566248096,0.999987296265257,0.021309156235632,0.999772934150813
-0.022974937067075,0.999736041296284,0.019622268594856,0.999807464752685
0.017091021060974,0.999853937832468,-0.026153659856182,0.999657934533672
0.012588824480445,0.999920757609422,-0.061278266288249,0.998120721195942
-0.021123492812883,0.999776874133116,-0.041859210308701,0.999123519146823
-0.00325065243386,0.99999471661542,0.009145575082876,0.999958178353677
0.023368469556777,0.999726920028952,0.02348960740592,0.99972408110634
-0.007043554710671,0.999975193860847,-0.012808346466085,0.999917969765923
-0.020098735804305,0.999798000007536,-0.054956013707066,0.9984887763803
